DATE,H8B3094NCBA
1973-01-03,7813.4
1973-01-10,7198.7
1973-01-17,7454.6
1973-01-24,7802.2
1973-01-31,7615.8
1973-02-07,8187.8
1973-02-14,8649.8
1973-02-21,9427.5
1973-02-28,10220.0
1973-03-07,10351.1
1973-03-14,10309.4
1973-03-21,10654.8
1973-03-28,10810.4
1973-04-04,10461.3
1973-04-11,10468.8
1973-04-18,10654.7
1973-04-25,10771.8
1973-05-02,11139.7
1973-05-09,11267.1
1973-05-16,11052.5
1973-05-23,11683.9
1973-05-30,11927.5
1973-06-06,11599.0
1973-06-13,11992.9
1973-06-20,12222.0
1973-06-27,12895.6
1973-07-04,13246.6
1973-07-11,12938.1
1973-07-18,13453.2
1973-07-25,14222.5
1973-08-01,14146.2
1973-08-08,13871.6
1973-08-15,13840.9
1973-08-22,14538.5
1973-08-29,15013.6
1973-09-05,15367.3
1973-09-12,13945.0
1973-09-19,14087.6
1973-09-26,14822.2
1973-10-03,14658.5
1973-10-10,14120.8
1973-10-17,14162.9
1973-10-24,14539.1
1973-10-31,14660.0
1973-11-07,14202.9
1973-11-14,14161.6
1973-11-21,14485.2
1973-11-28,14708.4
1973-12-05,14901.7
1973-12-12,14686.4
1973-12-19,14888.9
1973-12-26,15284.2
1974-01-02,14653.9
1974-01-09,14633.5
1974-01-16,14535.0
1974-01-23,14697.9
1974-01-30,15431.0
1974-02-06,14491.7
1974-02-13,14307.4
1974-02-20,14477.5
1974-02-27,14495.0
1974-03-06,14413.7
1974-03-13,14657.7
1974-03-20,15082.5
1974-03-27,15572.1
1974-04-03,15135.3
1974-04-10,15266.7
1974-04-17,15463.4
1974-04-24,16171.6
1974-05-01,16302.7
1974-05-08,16648.6
1974-05-15,16779.4
1974-05-22,17119.2
1974-05-29,17618.2
1974-06-05,17428.1
1974-06-12,17202.7
1974-06-19,17420.7
1974-06-26,18238.5
1974-07-03,18040.1
1974-07-10,18069.6
1974-07-17,18430.3
1974-07-24,18805.5
1974-07-31,18651.0
1974-08-07,18607.0
1974-08-14,18851.8
1974-08-21,19193.2
1974-08-28,20037.5
1974-09-04,19292.9
1974-09-11,19142.4
1974-09-18,19243.8
1974-09-25,19756.6
1974-10-02,19326.2
1974-10-09,20878.6
1974-10-16,20679.0
1974-10-23,20910.9
1974-10-30,20967.4
1974-11-06,19135.7
1974-11-13,18875.1
1974-11-20,19238.3
1974-11-27,19244.8
1974-12-04,18988.4
1974-12-11,19011.0
1974-12-18,19233.6
1974-12-25,19595.6
1975-01-01,20580.4
1975-01-08,18755.8
1975-01-15,19134.8
1975-01-22,18407.9
1975-01-29,18673.6
1975-02-05,18369.4
1975-02-12,18125.3
1975-02-19,17963.4
1975-02-26,18385.2
1975-03-05,18891.3
1975-03-12,18593.2
1975-03-19,18641.8
1975-03-26,18675.9
1975-04-02,18414.6
1975-04-09,18705.8
1975-04-16,18837.9
1975-04-23,18915.8
1975-04-30,19178.9
1975-05-07,18691.2
1975-05-14,18875.0
1975-05-21,18758.3
1975-05-28,18834.7
1975-06-04,18887.2
1975-06-11,19193.5
1975-06-18,19087.9
1975-06-25,19719.7
1975-07-02,19454.1
1975-07-09,19146.4
1975-07-16,18539.5
1975-07-23,18487.3
1975-07-30,18134.4
1975-08-06,18012.5
1975-08-13,18014.4
1975-08-20,18099.8
1975-08-27,18000.5
1975-09-03,18203.2
1975-09-10,18091.3
1975-09-17,18237.4
1975-09-24,18836.9
1975-10-01,18704.0
1975-10-08,18552.4
1975-10-15,19191.3
1975-10-22,19424.3
1975-10-29,20079.7
1975-11-05,19391.9
1975-11-12,19268.0
1975-11-19,19122.0
1975-11-26,20194.0
1975-12-03,19513.6
1975-12-10,19880.8
1975-12-17,20361.4
1975-12-24,20846.0
1975-12-31,21542.0
1976-01-07,19250.2
1976-01-14,18889.3
1976-01-21,18921.6
1976-01-28,19306.3
1976-02-04,18725.0
1976-02-11,18904.5
1976-02-18,18880.9
1976-02-25,18881.3
1976-03-03,18628.5
1976-03-10,18989.6
1976-03-17,18701.1
1976-03-24,19868.5
1976-03-31,19459.5
1976-04-07,19339.7
1976-04-14,18812.6
1976-04-21,18786.7
1976-04-28,19214.0
1976-05-05,18230.6
1976-05-12,18518.4
1976-05-19,18936.2
1976-05-26,18916.8
1976-06-02,18632.4
1976-06-09,18933.1
1976-06-16,19152.1
1976-06-23,20234.3
1976-06-30,21821.2
1976-07-07,19620.7
1976-07-14,18990.1
1976-07-21,19358.6
1976-07-28,19294.6
1976-08-04,18424.7
1976-08-11,18644.1
1976-08-18,18695.2
1976-08-25,19205.5
1976-09-01,19044.8
1976-09-08,18901.1
1976-09-15,19546.2
1976-09-22,19991.5
1976-09-29,20535.8
1976-10-06,20003.9
1976-10-13,19555.7
1976-10-20,19966.3
1976-10-27,20094.1
1976-11-03,19490.4
1976-11-10,19689.2
1976-11-17,20115.5
1976-11-24,20705.8
1976-12-01,21851.8
1976-12-08,21294.5
1976-12-15,22200.0
1976-12-22,22646.0
1976-12-29,23547.8
1977-01-05,22530.6
1977-01-12,22550.7
1977-01-19,22204.1
1977-01-26,22054.5
1977-02-02,22065.2
1977-02-09,21881.7
1977-02-16,22327.2
1977-02-23,22719.2
1977-03-02,22384.2
1977-03-09,22684.3
1977-03-16,22974.9
1977-03-23,23926.4
1977-03-30,24074.2
1977-04-06,23282.6
1977-04-13,23184.4
1977-04-20,23114.2
1977-04-27,24769.3
1977-05-04,23706.2
1977-05-11,24412.0
1977-05-18,24047.3
1977-05-25,24837.2
1977-06-01,24385.5
1977-06-08,23928.0
1977-06-15,24332.4
1977-06-22,25745.4
1977-06-29,26536.1
1977-07-06,24466.3
1977-07-13,24647.6
1977-07-20,24366.5
1977-07-27,25132.6
1977-08-03,24541.7
1977-08-10,24479.6
1977-08-17,24694.6
1977-08-24,25367.6
1977-08-31,25286.8
1977-09-07,24358.2
1977-09-14,25088.9
1977-09-21,25440.7
1977-09-28,26974.3
1977-10-05,25534.2
1977-10-12,24969.0
1977-10-19,25623.6
1977-10-26,26831.7
1977-11-02,25676.1
1977-11-09,26242.5
1977-11-16,26252.7
1977-11-23,27174.8
1977-11-30,27312.0
1977-12-07,27849.1
1977-12-14,28476.2
1977-12-21,29011.5
1977-12-28,30171.2
1978-01-04,30478.8
1978-01-11,29164.8
1978-01-18,29032.9
1978-01-25,28633.8
1978-02-01,28259.0
1978-02-08,28984.3
1978-02-15,28627.1
1978-02-22,29653.8
1978-03-01,29635.0
1978-03-08,29384.6
1978-03-15,29736.6
1978-03-22,31226.8
1978-03-29,32608.8
1978-04-05,30996.5
1978-04-12,31086.3
1978-04-19,30877.0
1978-04-26,32237.5
1978-05-03,32804.6
1978-05-10,33815.4
1978-05-17,34427.3
1978-05-24,36007.7
1978-05-31,36063.9
1978-06-07,35261.2
1978-06-14,34847.3
1978-06-21,34759.6
1978-06-28,36379.3
1978-07-05,34341.3
1978-07-12,34445.0
1978-07-19,35625.9
1978-07-26,35772.4
1978-08-02,35161.3
1978-08-09,34584.8
1978-08-16,34879.7
1978-08-23,35348.5
1978-08-30,35280.9
1978-09-06,34534.3
1978-09-13,34846.1
1978-09-20,35956.2
1978-09-27,36868.1
1978-10-04,35414.8
1978-10-11,36468.7
1978-10-18,37150.0
1978-10-25,38961.4
1978-11-01,38622.5
1978-11-08,38058.8
1978-11-15,38775.6
1978-11-22,37574.6
1978-11-29,40142.1
1978-12-06,41019.9
1978-12-13,42821.1
1978-12-20,41096.2
1978-12-27,40939.4
1979-01-03,133426.7
1979-01-10,132498.5
1979-01-17,135559.3
1979-01-24,138331.8
1979-01-31,139772.1
1979-02-07,140280.8
1979-02-14,138843.2
1979-02-21,134706.4
1979-02-28,137736.9
1979-03-07,139086.1
1979-03-14,145143.0
1979-03-21,144256.1
1979-03-28,141700.4
1979-04-04,141682.2
1979-04-11,144469.8
1979-04-18,150444.8
1979-04-25,147350.3
1979-05-02,148011.5
1979-05-09,150461.7
1979-05-16,150372.9
1979-05-23,152611.7
1979-05-30,156516.0
1979-06-06,155333.5
1979-06-13,154815.3
1979-06-20,158408.8
1979-06-27,165316.0
1979-07-04,162701.4
1979-07-11,161853.3
1979-07-18,164643.8
1979-07-25,166945.4
1979-08-01,166039.9
1979-08-08,165602.3
1979-08-15,166411.7
1979-08-22,168717.6
1979-08-29,170858.3
1979-09-05,172018.9
1979-09-12,170864.8
1979-09-19,176044.4
1979-09-26,178517.2
1979-10-03,172668.5
1979-10-10,176890.4
1979-10-17,174010.4
1979-10-24,173570.1
1979-10-31,171128.3
1979-11-07,165200.5
1979-11-14,170038.8
1979-11-21,169029.0
1979-11-28,171481.5
1979-12-05,170094.3
1979-12-12,172581.7
1979-12-19,174151.7
1979-12-26,180191.4
1980-01-02,183511.7
1980-01-09,176955.3
1980-01-16,173917.6
1980-01-23,179980.5
1980-01-30,179361.6
1980-02-06,179228.1
1980-02-13,183098.1
1980-02-20,186347.9
1980-02-27,181375.7
1980-03-05,178036.7
1980-03-12,177610.5
1980-03-19,177560.5
1980-03-26,185756.2
1980-04-02,179745.4
1980-04-09,183077.0
1980-04-16,184603.1
1980-04-23,182939.8
1980-04-30,185304.9
1980-05-07,183852.3
1980-05-14,189891.6
1980-05-21,190617.3
1980-05-28,198817.4
1980-06-04,191501.4
1980-06-11,194983.4
1980-06-18,194509.5
1980-06-25,197747.9
1980-07-02,198026.5
1980-07-09,199217.0
1980-07-16,200404.9
1980-07-23,203378.5
1980-07-30,205721.8
1980-08-06,204076.9
1980-08-13,206922.7
1980-08-20,206683.0
1980-08-27,208197.0
1980-09-03,204471.8
1980-09-10,205744.7
1980-09-17,204642.0
1980-09-24,208040.5
1980-10-01,210456.5
1980-10-08,206324.4
1980-10-15,203264.4
1980-10-22,210039.7
1980-10-29,211567.0
1980-11-05,210418.9
1980-11-12,207645.6
1980-11-19,211266.0
1980-11-26,212656.7
1980-12-03,206641.7
1980-12-10,212482.7
1980-12-17,215687.8
1980-12-24,213547.8
1980-12-31,206418.6
1981-01-07,212241.9
1981-01-14,216833.9
1981-01-21,211282.2
1981-01-28,211901.3
1981-02-04,211374.8
1981-02-11,212139.9
1981-02-18,211672.0
1981-02-25,219142.3
1981-03-04,215987.8
1981-03-11,215098.2
1981-03-18,220476.1
1981-03-25,223345.5
1981-04-01,227275.0
1981-04-08,226385.6
1981-04-15,223338.2
1981-04-22,230511.9
1981-04-29,233357.5
1981-05-06,225573.4
1981-05-13,221794.6
1981-05-20,224274.0
1981-05-27,220849.3
1981-06-03,223524.0
1981-06-10,229971.5
1981-06-17,235323.4
1981-06-24,229688.9
1981-07-01,224475.6
1981-07-08,229780.5
1981-07-15,229815.0
1981-07-22,225697.2
1981-07-29,220490.9
1981-08-05,225432.0
1981-08-12,223686.0
1981-08-19,227736.6
1981-08-26,227276.8
1981-09-02,229719.5
1981-09-09,234209.5
1981-09-16,237256.2
1981-09-23,234360.1
1981-09-30,240032.0
1981-10-07,232454.9
1981-10-14,240540.7
1981-10-21,245064.3
1981-10-28,241923.2
1981-11-04,243884.3
1981-11-11,253860.5
1981-11-18,254748.5
1981-11-25,255613.9
1981-12-02,258769.4
1981-12-09,256134.3
1981-12-16,252809.1
1981-12-23,254595.0
1981-12-30,254792.1
1982-01-06,253786.3
1982-01-13,254736.0
1982-01-20,259389.4
1982-01-27,257689.2
1982-02-03,264466.7
1982-02-10,264181.6
1982-02-17,261351.3
1982-02-24,258480.1
1982-03-03,268442.4
1982-03-10,272732.8
1982-03-17,267010.3
1982-03-24,263964.3
1982-03-31,265617.9
1982-04-07,267600.0
1982-04-14,267342.8
1982-04-21,264951.4
1982-04-28,258530.6
1982-05-05,266637.3
1982-05-12,268666.2
1982-05-19,263673.2
1982-05-26,265447.6
1982-06-02,266480.0
1982-06-09,269244.0
1982-06-16,265588.2
1982-06-23,258981.6
1982-06-30,258572.0
1982-07-07,259367.2
1982-07-14,262532.1
1982-07-21,263619.4
1982-07-28,270511.7
1982-08-04,269397.8
1982-08-11,272972.5
1982-08-18,273301.0
1982-08-25,271669.2
1982-09-01,270163.6
1982-09-08,274895.2
1982-09-15,277574.1
1982-09-22,271362.7
1982-09-29,272010.3
1982-10-06,277241.5
1982-10-13,279580.3
1982-10-20,277153.4
1982-10-27,277032.2
1982-11-03,278306.8
1982-11-10,279550.3
1982-11-17,273063.7
1982-11-24,270874.3
1982-12-01,273430.2
1982-12-08,280249.6
1982-12-15,277953.9
1982-12-22,278659.0
1982-12-29,284958.4
1983-01-05,286415.2
1983-01-12,290959.1
1983-01-19,286347.2
1983-01-26,286332.6
1983-02-02,282279.8
1983-02-09,275697.2
1983-02-16,275586.4
1983-02-23,274927.2
